id;booking_date;status;expiration_date;note;price;client_id;unit_id
1;2025-11-04T16:42:47;CANCELLED;2025-11-05T01:37:59;articulate jeopardize amongst;25990.28;1;1
2;2025-11-04T16:27:31;ACTIVE;2025-11-04T17:35:16;carboxyl potential yuck;31335.5;2;2
3;2025-11-05T03:02:19;CANCELLED;2025-11-04T20:31:48;decriminalize;22145.47;3;3
4;2025-11-04T15:56:43;ACTIVE;2025-11-05T08:30:54;where gadzooks;17769.22;4;4
5;2025-11-04T21:06:39;ACTIVE;2025-11-05T01:04:53;while;8889.92;5;5
6;2025-11-04T17:18:35;CANCELLED;2025-11-05T10:52:25;incidentally qualified boohoo;20293.06;6;6
7;2025-11-05T10:46:36;CANCELLED;2025-11-05T04:43:20;miss;5184.57;7;7
8;2025-11-05T11:09:13;CANCELLED;2025-11-05T05:51:03;marvel into;19513.2;8;8
9;2025-11-04T16:38:50;CANCELLED;2025-11-04T21:49:57;mid;11049.44;9;9
10;2025-11-05T13:22:11;ACTIVE;2025-11-05T03:20:34;clean seize;3102.28;10;10
