id;name;type;address;description;min_price;completion_date
1;annually skating;PRIVATE_HOUSE_GROUP;whose ah;fitting shyly immure;16495.26;2025-11-05T11:48:50
2;where;PRIVATE_HOUSE_GROUP;anti;at anti;13948.68;2025-11-04T23:58:46
3;for resit;MULTI_APARTMENT;through concerning ha;curvy;18748.11;2025-11-04T20:28:02
4;towards ultimately unethically;PRIVATE_HOUSE_GROUP;fancy brightly;under aha;13787.51;2025-11-05T10:16:49
5;round;PRIVATE_HOUSE_GROUP;everlasting cautiously incidentally;hm brr gah;26609;2025-11-05T09:36:36
6;next;MULTI_APARTMENT;meanwhile rheumatism;grenade lawsuit;11989.22;2025-11-04T19:05:29
7;rich;MULTI_APARTMENT;embellished yippee;attached;1715.74;2025-11-04T15:05:11
8;beget wherever;PRIVATE_HOUSE_GROUP;yearningly prestigious;cocktail;17227.38;2025-11-04T16:49:13
9;ack lest enormously;MULTI_APARTMENT;safeguard;towards or;14883.14;2025-11-05T10:07:26
10;retry whose;PRIVATE_HOUSE_GROUP;knock;belch;16164.81;2025-11-04T21:17:48
