id;location;price;description;area;floor;type;status;completion_date;project_id
1;finally powerfully;5169.79;ew wisely;1249.88;25064;TWO_ROOM;AVAILABLE;2025-11-05T04:32:58;1
2;helplessly;19973.88;willing whether;22719.93;25480;FIVE_ROOM;RESERVED;2025-11-04T16:01:24;2
3;mechanically;9074.87;righteously;8245.17;13368;FIVE_ROOM;RESERVED;2025-11-04T16:52:57;3
4;never gel hush;23321.54;rigidly notable;30802.41;6347;HOUSE_L;RESERVED;2025-11-04T19:21:58;4
5;psst;24396.63;quarrelsomely athletic;2454.4;10529;ONE_ROOM;RESERVED;2025-11-04T22:39:44;5
6;counselor frantically;4086.1;humiliate;2868.07;28153;TWO_ROOM;AVAILABLE;2025-11-05T11:57:41;6
7;silently yawningly yet;8922.15;class journey never;22607.14;12470;HOUSE_L;AVAILABLE;2025-11-05T11:10:44;7
8;creche;78.81;majestically amid;10990.38;13618;STUDIO;RESERVED;2025-11-04T16:50:04;8
9;comfortable cycle soon;22241.78;sadly seldom;8066.83;1748;HOUSE_XXS;RESERVED;2025-11-04T17:54:20;9
10;malfunction;363.16;but consequently brr;13252.93;11380;FIVE_ROOM;AVAILABLE;2025-11-05T06:15:00;10
